t   x   v
4.655  -4.069651739909016E-4  0.0
4.69  5.3152686140192E-4  0.0
4.725  0.0014093584893189617  0.0
4.76  0.002208722896930881  0.0
4.795  0.0029145930468129303  0.0
4.83  0.0035149374368828915  0.0
4.865  0.004000853473610222  0.0
4.9  0.004366619495365892  0.0
4.935  0.004609668367447156  0.0
4.97  0.004730487288995111  0.0
5.005  0.004732449972276406  0.0
5.04  0.004621588650561764  0.0
5.075  0.004406314422720113  0.0
5.11  0.0040970952380767435  0.0
5.145  0.0037061013582266504  0.0
5.18  0.003246828404065815  0.0
5.215  0.0027337081132139058  0.0
5.25  0.0021817167078722974  0.0
5.285  0.0016059903237350393  0.0
5.32  0.0010214562990225958  0.0
5.355  4.4248829489692285E-4  0.0
5.39  -1.1740775682569632E-4  0.0
5.425  -6.458709748431152E-4  0.0
5.46  -0.001131921391460164  0.0
5.495  -0.0015661508599149416  0.0
5.53  -0.0019408667579536478  0.0
5.565  -0.0022501874790040893  0.0
5.6  -0.0024900899022713826  0.0
5.635  -0.0026584101671223814  0.0
5.67  -0.0027548001215972067  0.0
5.705  -0.002780642749490643  0.0
5.74  -0.0027389306885395905  0.0
5.775  -0.002634112621058038  0.0
5.81  -0.00247191283907199  0.0
5.845  -0.0022591296537938783  0.0
5.88  -0.0020034185332014637  0.0
5.915  -0.0017130659143225352  0.0
5.95  -0.0013967595548059326  0.0
5.985  -0.00106336107084309  0.0
6.02  -7.2168596760414E-4  0.0
6.055  -3.8029601849858376E-4  0.0
6.09  -4.730830705156001E-5  0.0
6.125  2.697753723376872E-4  0.0
6.16  5.642157324699187E-4  0.0
6.195  8.301575194677277E-4  0.0
6.23  0.0010627237663108201  0.0
6.265  0.001258081923606934  0.0
6.3  0.0014134817307679605  0.0
6.335  0.0015272653708826446  0.0
6.37  0.0015988510849732  0.0
6.405  0.0016286919933704575  0.0
6.44  0.0016182123731021446  0.0
6.475  0.0015697240621494956  0.0
6.51  0.0014863259981886816  0.0
6.545  0.001371790147331658  0.0
6.58  0.0012304372360560896  0.0
6.615  0.0010670057678250585  0.0
6.65  8.865177877873708E-4  0.0
6.685  6.941447592703674E-4  0.0
6.72  4.950767410748423E-4  0.0
6.755  2.9439781285502565E-4  0.0
6.79  9.697039630059858E-5  0.0
6.825  -9.266922747312518E-5  0.0
6.86  -2.704022882624342E-4  0.0
6.895  -4.326042790989252E-4  0.0
6.93  -5.762060100216854E-4  0.0
6.965  -6.987383119531429E-4  0.0
7.0  -7.983601620904432E-4  0.0
